what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1407090010748
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1407090010748
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1407090010765
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1407090010784
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1407090010835
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1407090010836
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1407090010893
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1407090010936
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1407090010937
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1407090010937
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1407090010955
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1407090010956
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1407090010974
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1407090010975
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1407090011000
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1407090011026
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1407090011044
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1407090011053
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1407090011166
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1407090011178
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1407090011199
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1407090011199
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1407090011228
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1407090011254
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1407090011255
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1407090011255
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1407090011284
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1407090011293
os,sysinfo,,,"macosx",1407090011297
arch,sysinfo,,,"x86_64",1407090011297
ws,sysinfo,,,"cocoa",1407090011297
locale,sysinfo,,,"en_US",1407090011297
processors,sysinfo,,,"2",1407090011297
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1407090011297
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1407090011297
java.specification.name,sysinfo,,,"Java Platform API Specification",1407090011297
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407090011297
java.specification.version,sysinfo,,,"1.6",1407090011297
java.vendor,sysinfo,,,"Apple Inc.",1407090011297
java.version,sysinfo,,,"1.6.0_65",1407090011297
java.vm.info,sysinfo,,,"mixed mode",1407090011297
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1407090011297
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1407090011297
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407090011297
java.vm.specification.version,sysinfo,,,"1.0",1407090011297
java.vm.vendor,sysinfo,,,"Apple Inc.",1407090011297
java.vm.version,sysinfo,,,"20.65-b04-462",1407090011297
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1407090011308
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1407090011477
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1407090011787
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1407090011823
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1407090011885
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1407090012033
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1407090012400
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1407090012843
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1407090013289
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1407090013537
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1407090014071
started,bundle,com.android.ide.eclipse.base,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.base",1407090014249
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1407090014328
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1407090014627
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1407090015314
started,bundle,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.adt",1407090015651
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1407090016075
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1407090016153
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1407090016237
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1407090016238
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1407090016281
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1407090017383
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1407090018294
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1407090019177
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1407090019211
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1407090019431
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1407090034079
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1407090034128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1407090064649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407090066606
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1407090145941
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1407090146109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407090146682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090149526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090350944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407090376044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090378884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090417068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090422630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090554948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407090587136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090588143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090638424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090776978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090792758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090858703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090890649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407090929221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090932996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090953814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407090955982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090959416
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1407090966008
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1407090966010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407090966064
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407090971798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407091115613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091117848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091127857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407091130377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091137624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091150358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407091294025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091296846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091307534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407091321957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091324146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091339459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407091425389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407091427935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407092941166
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1407092992993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407093070497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093073711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093122226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093159778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093428386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093507561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093687521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093755514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093826414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407093869234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093872810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093885406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093891458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093924294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1407093924371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093928266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093955276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407093971023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407093973176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407094195492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407094280620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407094281677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407094309989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407094396338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407094562934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407094603061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407094605164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407094631798
